lambda_phys,model_name,capacity_name,parameter_count,dataset_size,data_seed,train_seed,status,test_rel_l2,val_rel_l2,train_rel_l2,test_mse,val_mse,train_mse,best_epoch,runtime_seconds
0.01,piml-conservation,small,4482,1024,11,101,success,0.0024401494301855564,0.0024473308585584164,0.0020399484783411026,3.8384438084904104e-05,3.729264426510781e-05,2.582627894298639e-05,390,8.60676097869873
0.01,piml-conservation,small,4482,1024,11,202,success,0.0018921990413218737,0.0019836993888020515,0.0016095077153295279,2.4539587684557773e-05,2.624916123750154e-05,1.6683241483406164e-05,399,8.157782793045044
0.01,piml-conservation,small,4482,1024,11,303,success,0.002094349591061473,0.0021715962793678045,0.0018187628593295813,2.6782838176586665e-05,2.897545709856786e-05,1.973080179595854e-05,392,8.141411066055298
0.01,piml-conservation,small,4482,128,11,101,success,0.006644149776548147,0.006840584799647331,0.00419021537527442,0.00035204755840823054,0.0003769928589463234,0.00014074711361899972,399,4.731520652770996
0.01,piml-conservation,small,4482,128,11,202,success,0.007635917980223894,0.007947379723191261,0.0046363938599824905,0.0004240106209181249,0.000446032703621313,0.00013821454194840044,399,4.662884473800659
0.01,piml-conservation,small,4482,128,11,303,success,0.006105553358793259,0.006541638635098934,0.0036841256078332663,0.0003749646130017936,0.0004092908347956836,9.141958435066044e-05,399,4.301666021347046
0.01,piml-conservation,small,4482,4096,11,101,nan,0.13831505179405212,0.14623180031776428,0.14153584837913513,0.09843076020479202,0.10194046050310135,0.10115925222635269,0,0.07766342163085938
0.01,piml-conservation,small,4482,4096,11,202,success,0.001143990783020854,0.0011894413037225604,0.0010974644683301449,8.489349056617357e-06,9.001922080642544e-06,7.426199772453401e-06,230,14.320644855499268
0.01,piml-conservation,small,4482,4096,11,303,success,0.00107775314245373,0.0011291956761851907,0.0010242470307275653,6.240054062800482e-06,6.257056611502776e-06,5.4053111853136215e-06,321,18.497851133346558
0.1,piml-conservation,large,67074,1024,11,101,nan,0.08849441260099411,0.08935421705245972,0.08819472789764404,0.036591097712516785,0.03638291358947754,0.0368962436914444,0,0.02888798713684082
0.1,piml-conservation,large,67074,1024,11,202,success,0.0008716481970623136,0.0008824471733532846,0.0006818296387791634,5.501646683114814e-06,5.519275873666629e-06,3.316863967484096e-06,261,6.281771421432495
0.1,piml-conservation,large,67074,1024,11,303,nan,0.09511800855398178,0.10041972994804382,0.09590521454811096,0.036334794014692307,0.03818262740969658,0.03679095581173897,0,0.028714418411254883
