epoch,train_loss,train_data_loss,train_phys_loss,val_rel_l2,val_mse
0,1.1364949345588684,1.1364949345588684,0.0,0.4038197994232178,0.6207759976387024
1,1.0524671375751495,1.0524671375751495,0.0,0.3856881558895111,0.5711469054222107
2,0.9710593819618225,0.9710593819618225,0.0,0.3682268559932709,0.5254083871841431
3,0.8937708139419556,0.8937708139419556,0.0,0.351398766040802,0.48290956020355225
4,0.8217578232288361,0.8217578232288361,0.0,0.3348635733127594,0.4434824287891388
5,0.7558385729789734,0.7558385729789734,0.0,0.3182995915412903,0.4055485427379608
6,0.6898890137672424,0.6898890137672424,0.0,0.30168816447257996,0.36871346831321716
7,0.6247983276844025,0.6247983276844025,0.0,0.2850067913532257,0.3336329758167267
8,0.5620213449001312,0.5620213449001312,0.0,0.2680582106113434,0.2995375990867615
9,0.5021100491285324,0.5021100491285324,0.0,0.25053802132606506,0.26643070578575134
10,0.44137120246887207,0.44137120246887207,0.0,0.23251330852508545,0.23487286269664764
11,0.38633662462234497,0.38633662462234497,0.0,0.2140040248632431,0.2050039917230606
12,0.33120329678058624,0.33120329678058624,0.0,0.19503651559352875,0.17654377222061157
13,0.2812510281801224,0.2812510281801224,0.0,0.1755286306142807,0.1495186984539032
14,0.23538396507501602,0.23538396507501602,0.0,0.15564976632595062,0.12435589730739594
15,0.1920020431280136,0.1920020431280136,0.0,0.13544043898582458,0.10160969197750092
16,0.15469049662351608,0.15469049662351608,0.0,0.11528966575860977,0.08167754113674164
17,0.12238902226090431,0.12238902226090431,0.0,0.09821386635303497,0.06492135673761368
18,0.09544597938656807,0.09544597938656807,0.0,0.08575767278671265,0.05179920047521591
19,0.07588081248104572,0.07588081248104572,0.0,0.07896272093057632,0.04205571860074997
20,0.06052425131201744,0.06052425131201744,0.0,0.07538081705570221,0.03577890619635582
21,0.05131918378174305,0.05131918378174305,0.0,0.07452402263879776,0.03219027444720268
22,0.046100810170173645,0.046100810170173645,0.0,0.0757373720407486,0.030625412240624428
23,0.0430345144122839,0.0430345144122839,0.0,0.07811480015516281,0.030265729874372482
24,0.04205826483666897,0.04205826483666897,0.0,0.08021774888038635,0.03029344417154789
25,0.04074397496879101,0.04074397496879101,0.0,0.08101610839366913,0.03000251203775406
26,0.039343006908893585,0.039343006908893585,0.0,0.08034821599721909,0.02912614867091179
27,0.03721780516207218,0.03721780516207218,0.0,0.07820799201726913,0.027591684833168983
28,0.03465142659842968,0.03465142659842968,0.0,0.07480844855308533,0.025543078780174255
29,0.03170992527157068,0.03170992527157068,0.0,0.07096006721258163,0.023407720029354095
30,0.028870921581983566,0.028870921581983566,0.0,0.066972516477108,0.02132086642086506
31,0.026250711642205715,0.026250711642205715,0.0,0.06309329718351364,0.019460517913103104
32,0.0239966232329607,0.0239966232329607,0.0,0.059982605278491974,0.017800208181142807
33,0.022137337364256382,0.022137337364256382,0.0,0.05749855935573578,0.01642494648694992
34,0.02069661021232605,0.02069661021232605,0.0,0.0555945485830307,0.015372660011053085
35,0.01947139948606491,0.01947139948606491,0.0,0.05387422442436218,0.014479773119091988
36,0.018308423459529877,0.018308423459529877,0.0,0.05219120904803276,0.01369541697204113
37,0.017355275340378284,0.017355275340378284,0.0,0.050654780119657516,0.013014381751418114
38,0.01648626197129488,0.01648626197129488,0.0,0.04920400679111481,0.012386496178805828
39,0.015521155670285225,0.015521155670285225,0.0,0.04783027991652489,0.011754983104765415
40,0.014692009892314672,0.014692009892314672,0.0,0.046567775309085846,0.01114184595644474
41,0.013899405021220446,0.013899405021220446,0.0,0.045384231954813004,0.010601078160107136
42,0.013120322022587061,0.013120322022587061,0.0,0.044234827160835266,0.010051128454506397
43,0.012396030593663454,0.012396030593663454,0.0,0.04313197731971741,0.009551450610160828
44,0.01169574074447155,0.01169574074447155,0.0,0.04210089519619942,0.009088527411222458
45,0.011090711690485477,0.011090711690485477,0.0,0.04110845923423767,0.008644280955195427
46,0.010445822961628437,0.010445822961628437,0.0,0.04015295207500458,0.008244314230978489
47,0.009855465032160282,0.009855465032160282,0.0,0.039209865033626556,0.007889061234891415
48,0.009323555044829845,0.009323555044829845,0.0,0.03827696293592453,0.007552155293524265
49,0.008847246412187815,0.008847246412187815,0.0,0.03736541047692299,0.007227588444948196
50,0.008375047240406275,0.008375047240406275,0.0,0.03642676770687103,0.006933027878403664
51,0.007917063077911735,0.007917063077911735,0.0,0.03546089679002762,0.006659046281129122
52,0.0075288740918040276,0.0075288740918040276,0.0,0.034486427903175354,0.006397534627467394
53,0.007124833529815078,0.007124833529815078,0.0,0.033541519194841385,0.006153046619147062
54,0.006768777268007398,0.006768777268007398,0.0,0.03254225477576256,0.00593691598623991
55,0.006444169906899333,0.006444169906899333,0.0,0.03154474496841431,0.005740647204220295
56,0.00612796051427722,0.00612796051427722,0.0,0.030599672347307205,0.005539145786315203
57,0.005839162273332477,0.005839162273332477,0.0,0.029633428901433945,0.005347924772650003
58,0.005567103857174516,0.005567103857174516,0.0,0.02871055342257023,0.005178779363632202
59,0.005342464428395033,0.005342464428395033,0.0,0.027832670137286186,0.00501727219671011
