epoch,train_loss,train_data_loss,train_phys_loss,phys_data_ratio,grad_norm,val_rel_l2,val_mse
0,1.121996283531189,1.121996283531189,0.0,0.0,1.0178685905824836,0.36537203192710876,0.5411681532859802
1,1.1042660474777222,1.1042660474777222,0.0,0.0,1.0049156708308353,0.36093029379844666,0.531884491443634
2,1.086764931678772,1.086764931678772,0.0,0.0,0.9882387502529578,0.35645991563796997,0.5226474404335022
3,1.069535732269287,1.069535732269287,0.0,0.0,0.9819137280360941,0.3519825339317322,0.5134915709495544
4,1.0524792671203613,1.0524792671203613,0.0,0.0,0.9716656956933206,0.3475015461444855,0.5044333934783936
5,1.0356721878051758,1.0356721878051758,0.0,0.0,0.9625122141343525,0.3430120348930359,0.4954533874988556
6,1.018935203552246,1.018935203552246,0.0,0.0,0.9721058155054791,0.33851566910743713,0.4865519106388092
7,1.002230167388916,1.002230167388916,0.0,0.0,0.970220735235654,0.3340347707271576,0.4777534604072571
8,0.9855676889419556,0.9855676889419556,0.0,0.0,0.9780901130750425,0.3295575976371765,0.4690229892730713
9,0.9690403938293457,0.9690403938293457,0.0,0.0,0.9772786545841733,0.32507115602493286,0.46034035086631775
10,0.9525529146194458,0.9525529146194458,0.0,0.0,0.9798064363473212,0.3206002414226532,0.4517318606376648
11,0.9361914396286011,0.9361914396286011,0.0,0.0,0.9755121284680157,0.3161930739879608,0.44325849413871765
12,0.9201127290725708,0.9201127290725708,0.0,0.0,0.9724626146645173,0.31183648109436035,0.4348899722099304
13,0.9041469097137451,0.9041469097137451,0.0,0.0,0.9765980882240247,0.3074480891227722,0.42649486660957336
14,0.8881363868713379,0.8881363868713379,0.0,0.0,0.9822325244739666,0.30303579568862915,0.4180859923362732
15,0.8721840381622314,0.8721840381622314,0.0,0.0,0.9825054753394253,0.29860520362854004,0.40967443585395813
16,0.8562363982200623,0.8562363982200623,0.0,0.0,0.9903754918636513,0.29415521025657654,0.4012722671031952
17,0.8402439951896667,0.8402439951896667,0.0,0.0,0.9926747688284473,0.2896825671195984,0.39289093017578125
18,0.8243237733840942,0.8243237733840942,0.0,0.0,0.9973900368395229,0.285173624753952,0.38450342416763306
19,0.808369517326355,0.808369517326355,0.0,0.0,1.0033715939297347,0.2806234359741211,0.37610766291618347
20,0.7923439145088196,0.7923439145088196,0.0,0.0,1.0109870950903195,0.27601560950279236,0.36768120527267456
21,0.7762250900268555,0.7762250900268555,0.0,0.0,1.0152769623149542,0.27135735750198364,0.3592446744441986
22,0.7600232362747192,0.7600232362747192,0.0,0.0,1.0216992312138966,0.2666451334953308,0.35079362988471985
23,0.7437372207641602,0.7437372207641602,0.0,0.0,1.0262346379944693,0.26187068223953247,0.3423246443271637
24,0.727380633354187,0.727380633354187,0.0,0.0,1.030418123402252,0.2570274770259857,0.33384114503860474
25,0.7110041975975037,0.7110041975975037,0.0,0.0,1.0323506137358163,0.25210487842559814,0.3253471851348877
26,0.69466233253479,0.69466233253479,0.0,0.0,1.035180465036544,0.24709409475326538,0.31685423851013184
27,0.6783743500709534,0.6783743500709534,0.0,0.0,1.0323053555444246,0.24199283123016357,0.30836546421051025
28,0.6621086597442627,0.6621086597442627,0.0,0.0,1.0345902826379967,0.2367837131023407,0.2998715043067932
29,0.6457576751708984,0.6457576751708984,0.0,0.0,1.0359682048541845,0.23147375881671906,0.29138606786727905
30,0.629382312297821,0.629382312297821,0.0,0.0,1.0375021536364863,0.22606006264686584,0.28291693329811096
