model_name,is_physics_informed,physics_prior,capacity_name,hidden_widths,parameter_count,dataset_size,n_attempted,n_runs,divergence_rate,nan_rate,test_rel_l2_mean,test_rel_l2_std,test_rel_l2_stderr,val_rel_l2_mean,val_rel_l2_std,val_rel_l2_stderr,test_mse_mean,test_mse_std,test_mse_stderr,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_stderr
piml,True,midpoint,tiny,"32,32",1218,48,9,9,0.0,0.0,0.02509260901974307,0.0023568044965817077,0.0007856014988605692,0.025308404117822647,0.0028270298951972523,0.0009423432983990841,0.004132112617500954,0.000907398430984362,0.00030246614366145403,8.804652796851265,0.6745687993460195,0.22485626644867318
piml,True,midpoint,tiny,"32,32",1218,64,9,9,0.0,0.0,0.024390593998961978,0.001800185361365022,0.000600061787121674,0.024422660056087706,0.0022578851098377277,0.0007526283699459093,0.0037196864270501668,0.0007103728615071789,0.0002367909538357263,21.073818683624268,23.851193081407736,7.950397693802579
piml,True,midpoint,tiny,"32,32",1218,96,9,9,0.0,0.0,0.02324677362210221,0.0014583901354815242,0.0004861300451605081,0.02321178528169791,0.0014050835083687034,0.00046836116945623446,0.00309634154352049,0.0006100537827827063,0.00020335126092756878,72.60460551579793,3.610270895469057,1.203423631823019
piml,True,midpoint,tiny,"32,32",1218,128,9,9,0.0,0.0,0.022909007552597258,0.0012497272652865089,0.00041657575509550297,0.02276504288117091,0.0014084412252142534,0.00046948040840475114,0.0030467049218714237,0.0004473456349596785,0.00014911521165322618,66.86439813507928,3.6767859579125397,1.22559531930418
piml,True,midpoint,tiny,"32,32",1218,256,9,9,0.0,0.0,0.019874223197499912,0.0012345458401178014,0.0004115152800392671,0.019970685036645994,0.0014714612858634372,0.0004904870952878124,0.0018767310539260507,0.00021474418872990077,7.158139624330026e-05,88.1752839618259,4.623873487070495,1.5412911623568315
piml,True,midpoint,tiny,"32,32",1218,384,9,9,0.0,0.0,0.018373881984088156,0.0007233125121031986,0.00024110417070106623,0.0184213374223974,0.0008244000717543808,0.00027480002391812693,0.0015583892818540335,0.00010371412852960137,3.457137617653379e-05,94.94145690070258,14.216305066012307,4.738768355337435
piml,True,midpoint,tiny,"32,32",1218,512,9,9,0.0,0.0,0.017649496388104226,0.0005281533611284518,0.00017605112037615057,0.017788171354267333,0.0007307459450627717,0.00024358198168759058,0.0014881450139606993,0.00010176273730591256,3.3920912435304186e-05,81.65469233194987,14.656990641145374,4.885663547048458
piml,True,midpoint,tiny,"32,32",1218,1024,9,9,0.0,0.0,0.01662944360739655,0.00016884531716175542,5.6281772387251805e-05,0.016722127381298277,0.00040719340460029844,0.00013573113486676616,0.0012579261221819455,3.4236931328711365e-05,1.1412310442903789e-05,93.09361746576097,10.218979732697811,3.406326577565937
piml,True,midpoint,tiny,"32,32",1218,2048,9,9,0.0,0.0,0.016232409721447363,0.0004998982141472944,0.00016663273804909815,0.016284789476129744,0.00046017129526856675,0.00015339043175618893,0.0012137059432764847,7.270833036115442e-05,2.4236110120384806e-05,120.22809645864699,33.543749174990204,11.181249724996734
piml,True,midpoint,tiny,"32,32",1218,4096,9,9,0.0,0.0,0.016102920803758834,0.00034204068938236814,0.00011401356312745605,0.016154382791784074,0.0005026091732406076,0.00016753639108020254,0.0011777517566871312,6.900885758591041e-05,2.30029525286368e-05,134.583491563797,41.665168394968745,13.888389464989581
