epoch,train_loss,train_data_loss,train_phys_loss,phys_data_ratio,grad_norm,val_rel_l2,val_mse
0,1.043989896774292,1.0432026386260986,0.7872977256774902,0.7546929968604795,1.1988647705188755,0.32323431968688965,0.5123754143714905
1,1.0066457986831665,1.0058751106262207,0.7707298994064331,0.7662282238265197,1.1768699055487943,0.31553906202316284,0.4952339231967926
2,0.969680905342102,0.9689280986785889,0.7527997493743896,0.7769407765148393,1.1676445738956303,0.3078363239765167,0.47851964831352234
3,0.9336336255073547,0.9328994750976562,0.7341626286506653,0.7869686372948306,1.1486972938802262,0.30010783672332764,0.4621344804763794
4,0.8983258008956909,0.8976110219955444,0.7147796154022217,0.7963133226830739,1.1376776624499079,0.292388916015625,0.44611984491348267
5,0.8637455105781555,0.8630509376525879,0.6945705413818359,0.8047851072046781,1.1253564278391455,0.28469139337539673,0.4304920732975006
6,0.8299598693847656,0.8292862772941589,0.6736046075820923,0.8122702931730241,1.1131846722972627,0.277023047208786,0.4152439534664154
7,0.7969115972518921,0.7962597012519836,0.6518715620040894,0.8186670265732796,1.1041625822695198,0.2694038152694702,0.40039098262786865
8,0.7644788026809692,0.7638494372367859,0.6293426752090454,0.8239093262746691,1.0973983194561787,0.26186299324035645,0.38594162464141846
9,0.732708752155304,0.7321028113365173,0.6059112548828125,0.8276313729442847,1.0896521130592227,0.2544565200805664,0.37196001410484314
10,0.7016910314559937,0.7011093497276306,0.5816524624824524,0.8296173239002087,1.081481053815403,0.2472224235534668,0.35843217372894287
11,0.6715126633644104,0.6709560751914978,0.5565940141677856,0.8295535799551825,1.0740021160275994,0.240226611495018,0.3454062342643738
12,0.6423349976539612,0.6418039798736572,0.5310202240943909,0.8273869292598112,1.0620045411034804,0.23351483047008514,0.3329066336154938
13,0.6142767667770386,0.6137716174125671,0.5051441192626953,0.8230164200035757,1.0509342709493532,0.2270699441432953,0.3208048343658447
14,0.5870611071586609,0.5865824222564697,0.478672593832016,0.8160363755713215,1.0433655277475677,0.22091428935527802,0.30901002883911133
15,0.560517430305481,0.5600658655166626,0.45156481862068176,0.8062709163753655,1.0381560969505306,0.2149580866098404,0.2974429428577423
16,0.5345837473869324,0.5341597199440002,0.4240121841430664,0.7937928831240189,1.0300881001109043,0.20912796258926392,0.28608983755111694
17,0.5093145370483398,0.5089183449745178,0.3961922526359558,0.7784986659417704,1.023400290817176,0.20330962538719177,0.27487462759017944
18,0.4845970869064331,0.48422902822494507,0.3680606484413147,0.7600962085865178,1.013323170494249,0.19742454588413239,0.26376014947891235
19,0.4604509770870209,0.4601113498210907,0.33963701128959656,0.7381626456762276,1.0049900532632046,0.1914358288049698,0.2527214586734772
20,0.436715304851532,0.4364043176174164,0.3109951913356781,0.712630876416578,0.9974887558313755,0.185318261384964,0.24176007509231567
21,0.4133912920951843,0.41310903429985046,0.28226804733276367,0.6832773526997782,0.9869249038758534,0.1790713667869568,0.23089486360549927
22,0.39057785272598267,0.3903241455554962,0.25372061133384705,0.6500254063779743,0.9740842585069649,0.1727212369441986,0.22015072405338287
23,0.36830934882164,0.3680837154388428,0.22562062740325928,0.6129600901639078,0.9601494377783217,0.16631729900836945,0.2095615267753601
24,0.346565842628479,0.34636759757995605,0.19824105501174927,0.5723429570111187,0.9447061441165723,0.15991437435150146,0.19915670156478882
25,0.325519323348999,0.325347363948822,0.17197220027446747,0.528580278589622,0.9253642382789143,0.15357525646686554,0.18896842002868652
26,0.3052283525466919,0.30508118867874146,0.14717528223991394,0.4824134941826695,0.9037224493288345,0.14736801385879517,0.1790412962436676
27,0.28581902384757996,0.28569477796554565,0.12424808740615845,0.4348979995047112,0.8797378277254314,0.14138232171535492,0.16942660510540009
28,0.26736927032470703,0.2672654986381531,0.10377246141433716,0.38827481266047437,0.8535103686857266,0.13572491705417633,0.16016431152820587
29,0.24994638562202454,0.24986012279987335,0.08626333624124527,0.34524651342758805,0.8261349139981731,0.13058842718601227,0.1512972116470337
30,0.23356536030769348,0.23349320888519287,0.07215598225593567,0.30902818373366187,0.7976382780940304,0.12611915171146393,0.1428619623184204
31,0.21820321679115295,0.2181413620710373,0.06185488775372505,0.2835541465702508,0.7673270520220599,0.1222618818283081,0.13489487767219543
32,0.2038915753364563,0.20383597910404205,0.05560316890478134,0.27278387823967204,0.7358206104296128,0.11906057596206665,0.12741801142692566
33,0.19061242043972015,0.1905590146780014,0.053412918001413345,0.2802959392483648,0.7030744066194772,0.11642471700906754,0.12045104801654816
