model_name,is_physics_informed,capacity_name,hidden_widths,parameter_count,dataset_size,data_seed,train_seed,status,failure_reason,best_epoch,train_rel_l2,val_rel_l2,test_rel_l2,train_mse,val_mse,test_mse,runtime_seconds,diverged,nan_detected,eligible_for_fit,data_root,run_dir,config_path,history_path,checkpoint_path,metrics_path
piml,True,tiny,"32,32",1218,64,11,101,success,,4,0.33386674523353577,0.27026423811912537,0.33710619807243347,0.4654475450515747,0.6487452983856201,0.5893296599388123,0.009153366088867188,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data-smoke/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=piml/capacity=tiny/D=64/data_seed=11/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=piml/capacity=tiny/D=64/data_seed=11/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=piml/capacity=tiny/D=64/data_seed=11/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=piml/capacity=tiny/D=64/data_seed=11/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=piml/capacity=tiny/D=64/data_seed=11/train_seed=101/metrics.json
plain,False,tiny,"32,32",1218,64,11,101,success,,4,0.3358088433742523,0.2705109715461731,0.3385539948940277,0.4660143256187439,0.6437402963638306,0.5868723392486572,0.012835264205932617,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data-smoke/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=plain/capacity=tiny/D=64/data_seed=11/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=plain/capacity=tiny/D=64/data_seed=11/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=plain/capacity=tiny/D=64/data_seed=11/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=plain/capacity=tiny/D=64/data_seed=11/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-sweep-smoke/model=plain/capacity=tiny/D=64/data_seed=11/train_seed=101/metrics.json
