epoch,train_loss,train_data_loss,train_phys_loss,val_rel_l2,val_mse
0,1.1191506385803223,1.1191506385803223,0.0,0.38166195154190063,0.5775997042655945
1,1.1024665832519531,1.1024665832519531,0.0,0.37805992364883423,0.5680953860282898
2,1.0858436822891235,1.0858436822891235,0.0,0.37439537048339844,0.5585412383079529
3,1.0693373680114746,1.0693373680114746,0.0,0.3706890940666199,0.5490005612373352
4,1.0529272556304932,1.0529272556304932,0.0,0.36688536405563354,0.5393741130828857
5,1.0366120338439941,1.0366120338439941,0.0,0.3630390167236328,0.5297734141349792
6,1.0204408168792725,1.0204408168792725,0.0,0.3590694069862366,0.5200340151786804
7,1.004326581954956,1.004326581954956,0.0,0.35505181550979614,0.5103203654289246
8,0.9882984161376953,0.9882984161376953,0.0,0.3509630262851715,0.5005802512168884
9,0.9723679423332214,0.9723679423332214,0.0,0.3468141257762909,0.49080905318260193
10,0.9564328789710999,0.9564328789710999,0.0,0.3425745964050293,0.48095062375068665
11,0.9405795335769653,0.9405795335769653,0.0,0.3382331132888794,0.4709967076778412
12,0.9247899055480957,0.9247899055480957,0.0,0.33385369181632996,0.46111172437667847
13,0.90903240442276,0.90903240442276,0.0,0.3294307589530945,0.45128771662712097
14,0.8933460116386414,0.8933460116386414,0.0,0.3250032067298889,0.4415748417377472
15,0.8777033090591431,0.8777033090591431,0.0,0.3205987215042114,0.4320419132709503
16,0.8621399998664856,0.8621399998664856,0.0,0.3161258101463318,0.42252179980278015
17,0.8466511368751526,0.8466511368751526,0.0,0.3115503787994385,0.4129404127597809
18,0.8311774730682373,0.8311774730682373,0.0,0.30691850185394287,0.40335679054260254
19,0.815669596195221,0.815669596195221,0.0,0.3022574186325073,0.39384210109710693
20,0.8002058863639832,0.8002058863639832,0.0,0.2975625693798065,0.3844255805015564
21,0.7848110795021057,0.7848110795021057,0.0,0.2928195297718048,0.3750672936439514
22,0.7693963050842285,0.7693963050842285,0.0,0.28800827264785767,0.3657705783843994
23,0.7539697289466858,0.7539697289466858,0.0,0.2831014096736908,0.35648223757743835
24,0.7385440468788147,0.7385440468788147,0.0,0.27810531854629517,0.3472144603729248
25,0.7230188250541687,0.7230188250541687,0.0,0.2730119526386261,0.33796119689941406
26,0.707483172416687,0.707483172416687,0.0,0.2678263485431671,0.3287436068058014
27,0.6918894052505493,0.6918894052505493,0.0,0.2624799907207489,0.31946855783462524
28,0.6762730479240417,0.6762730479240417,0.0,0.2570008635520935,0.31019455194473267
29,0.6606305241584778,0.6606305241584778,0.0,0.25136178731918335,0.30094337463378906
30,0.6449445486068726,0.6449445486068726,0.0,0.24557115137577057,0.29170987010002136
31,0.6293082237243652,0.6293082237243652,0.0,0.23964925110340118,0.2825395166873932
32,0.613812267780304,0.613812267780304,0.0,0.2335798740386963,0.27343377470970154
33,0.5984137058258057,0.5984137058258057,0.0,0.22738075256347656,0.26441118121147156
34,0.5830928683280945,0.5830928683280945,0.0,0.22106169164180756,0.25548282265663147
35,0.5678461194038391,0.5678461194038391,0.0,0.21463270485401154,0.24664881825447083
36,0.5526872277259827,0.5526872277259827,0.0,0.20813773572444916,0.23795799911022186
37,0.5376588702201843,0.5376588702201843,0.0,0.2015811949968338,0.229424387216568
38,0.5227791666984558,0.5227791666984558,0.0,0.1949659287929535,0.221090167760849
39,0.5080724358558655,0.5080724358558655,0.0,0.18831421434879303,0.2129790037870407
40,0.4935455918312073,0.4935455918312073,0.0,0.18163181841373444,0.20509684085845947
41,0.4792092740535736,0.4792092740535736,0.0,0.17493927478790283,0.19746440649032593
42,0.4650719165802002,0.4650719165802002,0.0,0.16825471818447113,0.1901090294122696
43,0.4511412978172302,0.4511412978172302,0.0,0.16159337759017944,0.18303397297859192
44,0.437423437833786,0.437423437833786,0.0,0.15497921407222748,0.17623913288116455
45,0.4239347577095032,0.4239347577095032,0.0,0.14845822751522064,0.1697300374507904
46,0.4106910824775696,0.4106910824775696,0.0,0.14209243655204773,0.1635066717863083
47,0.39769718050956726,0.39769718050956726,0.0,0.13594286143779755,0.15757867693901062
48,0.3849593698978424,0.3849593698978424,0.0,0.13015404343605042,0.15194103121757507
49,0.3724941313266754,0.3724941313266754,0.0,0.1248769462108612,0.14657460153102875
50,0.36031562089920044,0.36031562089920044,0.0,0.1202138140797615,0.14148198068141937
51,0.34841933846473694,0.34841933846473694,0.0,0.11624853312969208,0.13665436208248138
52,0.3368414640426636,0.3368414640426636,0.0,0.11312177777290344,0.1320795714855194
53,0.3255821764469147,0.3255821764469147,0.0,0.11061007529497147,0.1277325600385666
54,0.31461915373802185,0.31461915373802185,0.0,0.10841262340545654,0.12360886484384537
55,0.3039429187774658,0.3039429187774658,0.0,0.10641702264547348,0.11969241499900818
56,0.29356849193573,0.29356849193573,0.0,0.10464298725128174,0.11597443372011185
57,0.2834959626197815,0.2834959626197815,0.0,0.10316520184278488,0.11244110018014908
58,0.2737308740615845,0.2737308740615845,0.0,0.10184641182422638,0.10907761752605438
59,0.26427483558654785,0.26427483558654785,0.0,0.10059390217065811,0.10586581379175186
