model_name,is_physics_informed,capacity_name,hidden_widths,parameter_count,dataset_size,data_seed,train_seed,status,failure_reason,best_epoch,train_rel_l2,val_rel_l2,test_rel_l2,train_mse,val_mse,test_mse,runtime_seconds,diverged,nan_detected,eligible_for_fit,data_root,run_dir,config_path,history_path,checkpoint_path,metrics_path
plain,False,small,"64,64",4482,4096,11,303,success,,210,0.0012133738491684198,0.0012766252039000392,0.0012932643294334412,8.312012141686864e-06,9.02825740922708e-06,9.586750820744783e-06,9.073551177978516,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=11/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=11/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=11/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=11/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=11/train_seed=303/metrics.json
plain,False,small,"64,64",4482,4096,22,101,success,,286,0.0011620103614404798,0.0012768101878464222,0.0012783926213160157,7.777593054925092e-06,9.830403541855048e-06,9.410241545992903e-06,10.804349899291992,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=22,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=101/metrics.json
plain,False,small,"64,64",4482,4096,22,202,success,,174,0.001270701875910163,0.0013792949030175805,0.0013133942848071456,9.198367479257286e-06,1.1396042282285634e-05,1.0305662726750597e-05,7.576691627502441,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=22,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=202,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=202/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=202/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=202/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=202/metrics.json
plain,False,small,"64,64",4482,4096,22,303,success,,349,0.0009963249322026968,0.001084169140085578,0.0010584890842437744,5.412965037976392e-06,7.068126251397189e-06,6.6035463532898575e-06,16.63535213470459,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=22,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=22/train_seed=303/metrics.json
plain,False,small,"64,64",4482,4096,33,101,success,,284,0.0011871912283822894,0.0012319148518145084,0.001302203512750566,9.077721188077703e-06,9.934590707416646e-06,1.0788663530547637e-05,13.338541984558105,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=33,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=101/metrics.json
plain,False,small,"64,64",4482,4096,33,202,success,,217,0.001176190096884966,0.0012171609560027719,0.0012722630053758621,8.372718184546102e-06,8.862005415721796e-06,9.567027518642135e-06,10.32993745803833,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=33,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=202,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=202/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=202/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=202/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=202/metrics.json
plain,False,small,"64,64",4482,4096,33,303,success,,199,0.0011988887563347816,0.0012653276789933443,0.0013072926085442305,7.923791599750984e-06,9.178182153846137e-06,9.327286534244195e-06,10.099158525466919,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=33,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=4096/data_seed=33/train_seed=303/metrics.json
plain,False,small,"64,64",4482,8192,11,101,success,,164,0.00111054303124547,0.0011413211468607187,0.001141277956776321,7.2640154940017965e-06,7.64725700719282e-06,7.980433110787999e-06,13.707000970840454,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=101/metrics.json
plain,False,small,"64,64",4482,8192,11,202,success,,300,0.0008570202626287937,0.000897744670510292,0.0009270253940485418,4.494164386414923e-06,4.785176770383259e-06,5.1025135689997114e-06,23.194153785705566,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=202,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=202/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=202/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=202/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=202/metrics.json
plain,False,small,"64,64",4482,8192,11,303,success,,173,0.0009722589747980237,0.0010298265842720866,0.0010196762159466743,4.99391808261862e-06,5.619149305857718e-06,5.584879090747563e-06,13.404832601547241,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs/model=plain/capacity=small/D=8192/data_seed=11/train_seed=303/metrics.json
