model_name,is_physics_informed,physics_prior,capacity_name,hidden_widths,parameter_count,dataset_size,data_seed,train_seed,status,failure_reason,best_epoch,train_rel_l2,val_rel_l2,test_rel_l2,train_mse,val_mse,test_mse,runtime_seconds,diverged,nan_detected,eligible_for_fit,data_root,run_dir,config_path,history_path,checkpoint_path,metrics_path
piml-simpson,True,simpson,medium,"128,128",17412,1024,11,101,success,,266,0.0014049208257347345,0.0016646969597786665,0.00161655992269516,1.094440904125804e-05,1.601301300979685e-05,1.4764814295631368e-05,6.2496936321258545,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=101/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,11,202,success,,202,0.0013595569180324674,0.0015288330614566803,0.0014904545387253165,1.3179887901060283e-05,1.8220900528831407e-05,1.6771300579421222e-05,4.44218373298645,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=202,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=202/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=202/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=202/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=202/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,11,303,success,,241,0.0014830284053459764,0.00176549656316638,0.0016471311682835221,1.3026405213167891e-05,2.0055033019161783e-05,1.751174386299681e-05,5.666540622711182,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=11/train_seed=303/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,22,101,success,,190,0.0018299986841157079,0.001981019740924239,0.001956232590600848,1.8205180822405964e-05,2.51316432695603e-05,2.4258428311441094e-05,4.750626564025879,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=22,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=101/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,22,202,success,,233,0.0014634146355092525,0.0017205134499818087,0.001659448491409421,1.3644304090121295e-05,2.188806320191361e-05,2.0612185835489072e-05,6.231850624084473,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=22,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=202,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=202/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=202/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=202/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=202/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,22,303,success,,163,0.0018082308815792203,0.001993355341255665,0.0019313374068588018,1.99943551706383e-05,2.8037427910021506e-05,2.538669104978908e-05,3.897026538848877,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=22,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=22/train_seed=303/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,33,101,success,,137,0.0019951316062361,0.002162470016628504,0.0022018414456397295,2.2160882508615032e-05,3.0150946258800104e-05,2.8749222110491246e-05,2.9717438220977783,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=33,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=101/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,33,202,success,,208,0.0014712570700794458,0.001647875178605318,0.001637460314668715,1.229376721312292e-05,1.771224197000265e-05,1.6671434423187748e-05,4.462106466293335,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=33,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=202,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=202/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=202/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=202/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=202/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,1024,33,303,success,,282,0.0013908278197050095,0.001520808320492506,0.0015358702512457967,1.0999779078701977e-05,1.9051127310376614e-05,1.731354495859705e-05,6.010018348693848,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=33,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=1024/data_seed=33/train_seed=303/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,2048,11,101,success,,97,0.00167978391982615,0.0018095464911311865,0.0018070614896714687,1.664637056819629e-05,2.0786335880984552e-05,1.9701374185387976e-05,4.205146551132202,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=101,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=101/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=101/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=101/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=101/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,2048,11,202,success,,165,0.0012579658068716526,0.0013950085267424583,0.0013541679363697767,8.112543582683429e-06,9.95484515442513e-06,1.0246546480630059e-05,6.414170980453491,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=202,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=202/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=202/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=202/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=202/metrics.json
piml-simpson,True,simpson,medium,"128,128",17412,2048,11,303,success,,163,0.0014515458606183529,0.0015810783952474594,0.0014760915655642748,1.1413120773795526e-05,1.4596229448216036e-05,1.239714038092643e-05,5.985806941986084,False,False,True,/home/lucas-perrier/Documents/projects/scaling-piml/data/data_seed=11,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=303,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=303/config.yaml,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=303/history.csv,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=303/best.pt,/home/lucas-perrier/Documents/projects/scaling-piml/runs-simpson/model=piml-simpson/capacity=medium/D=2048/data_seed=11/train_seed=303/metrics.json
