epoch,train_loss,train_data_loss,train_phys_loss,val_rel_l2,val_mse
0,1.1268858909606934,1.0260119438171387,1.0087392330169678,0.3457374572753906,0.5197963118553162
1,1.1141843795776367,1.0146300792694092,0.9955428838729858,0.34247153997421265,0.5130447745323181
2,1.1016554832458496,1.003437876701355,0.9821764230728149,0.33914753794670105,0.5063409805297852
3,1.08926260471344,0.9923826456069946,0.9687995910644531,0.33577069640159607,0.49971017241477966
4,1.0770461559295654,0.9815000295639038,0.9554618000984192,0.3323368430137634,0.49317601323127747
5,1.0648897886276245,0.9706870913505554,0.9420273303985596,0.32882601022720337,0.4867277443408966
6,1.0528769493103027,0.9600172638893127,0.9285972714424133,0.32522982358932495,0.48025766015052795
7,1.040980339050293,0.9494684934616089,0.915118932723999,0.32152968645095825,0.4737096130847931
8,1.0291177034378052,0.9389650821685791,0.901526689529419,0.3177309036254883,0.4670916795730591
9,1.0172255039215088,0.9284465909004211,0.8877888917922974,0.31384652853012085,0.46042320132255554
10,1.0053421258926392,0.9179491996765137,0.8739292025566101,0.3098527491092682,0.4536922872066498
11,0.9934567213058472,0.9074550867080688,0.860016405582428,0.3057654798030853,0.44696199893951416
12,0.981577455997467,0.8969711065292358,0.8460637331008911,0.30161505937576294,0.4403194487094879
13,0.9697957634925842,0.8865826725959778,0.832131028175354,0.29738813638687134,0.4337574243545532
14,0.9581599831581116,0.8763390183448792,0.8182095885276794,0.2930895686149597,0.42726922035217285
15,0.9466102123260498,0.8661818504333496,0.8042837977409363,0.28870975971221924,0.4208376407623291
16,0.9350382685661316,0.8560160398483276,0.7902224063873291,0.28424039483070374,0.41444703936576843
17,0.9234876036643982,0.8458746671676636,0.7761293649673462,0.27969369292259216,0.40811461210250854
18,0.9118828773498535,0.8356890082359314,0.7619388699531555,0.2750874161720276,0.4018700122833252
19,0.9002271294593811,0.8254613876342773,0.747657299041748,0.27041950821876526,0.39574873447418213
20,0.8886338472366333,0.8152920603752136,0.7334181666374207,0.2656862735748291,0.3897310495376587
21,0.8771135807037354,0.8051880598068237,0.7192551493644714,0.2609054446220398,0.38383540511131287
22,0.8656100034713745,0.7951004505157471,0.7050952911376953,0.2560814917087555,0.3780718743801117
23,0.8541604280471802,0.7850570678710938,0.6910333633422852,0.25123822689056396,0.3724445402622223
24,0.8428068161010742,0.7750969529151917,0.6770988702774048,0.246380016207695,0.3669895827770233
25,0.8315111398696899,0.7651804089546204,0.6633076071739197,0.24148760735988617,0.36168330907821655
26,0.8202785849571228,0.7553176879882812,0.6496089100837708,0.23657992482185364,0.3565479516983032
27,0.8091655969619751,0.7455548048019409,0.6361077427864075,0.23166659474372864,0.35157454013824463
28,0.7981580495834351,0.7358784675598145,0.622795820236206,0.2267599105834961,0.3467613756656647
29,0.7872426509857178,0.726272702217102,0.6096994876861572,0.2218666672706604,0.342105895280838
30,0.7763379216194153,0.716661274433136,0.5967664122581482,0.21699419617652893,0.3376106023788452
