epoch,train_loss,train_data_loss,train_phys_loss,phys_data_ratio,grad_norm,val_rel_l2,val_mse
0,0.9688388705253601,0.9688388705253601,0.0,0.0,2.885042617949447,0.2827097773551941,0.3500494956970215
1,0.6779142618179321,0.6779142618179321,0.0,0.0,2.3721222137624123,0.21528589725494385,0.2259131669998169
2,0.4570927917957306,0.4570927917957306,0.0,0.0,1.9622988257495635,0.1556844413280487,0.1421394795179367
3,0.2971910238265991,0.2971910238265991,0.0,0.0,1.602656997659259,0.11806633323431015,0.08976096659898758
4,0.18792864680290222,0.18792864680290222,0.0,0.0,1.2813513185535563,0.10026578605175018,0.06041792780160904
5,0.1187901496887207,0.1187901496887207,0.0,0.0,0.9852720290121585,0.09550907462835312,0.046437818557024
6,0.08152737468481064,0.08152737468481064,0.0,0.0,0.7333135612002212,0.09885638952255249,0.04218088090419769
7,0.07059229165315628,0.07059229165315628,0.0,0.0,0.6814915570415351,0.10419858247041702,0.042949140071868896
8,0.07721570879220963,0.07721570879220963,0.0,0.0,0.8835540078452598,0.10635871440172195,0.04397716373205185
9,0.08860575407743454,0.08860575407743454,0.0,0.0,1.129656645704891,0.10241292417049408,0.04151467978954315
10,0.09387855231761932,0.09387855231761932,0.0,0.0,1.2844433082863858,0.09249560534954071,0.0349697545170784
11,0.08838675916194916,0.08838675916194916,0.0,0.0,1.3025418955505024,0.07826510071754456,0.026200376451015472
12,0.07377240806818008,0.07377240806818008,0.0,0.0,1.1893645428052624,0.06228921562433243,0.017748508602380753
13,0.05499933287501335,0.05499933287501335,0.0,0.0,0.982583854712451,0.04791776463389397,0.011526322923600674
14,0.03726520016789436,0.03726520016789436,0.0,0.0,0.7268528944821261,0.03683336079120636,0.00818480085581541
15,0.02441810443997383,0.02441810443997383,0.0,0.0,0.48124608474879865,0.03009985201060772,0.00708006601780653
16,0.01756323128938675,0.01756323128938675,0.0,0.0,0.3122478939278732,0.029457377269864082,0.007046932354569435
17,0.015860505402088165,0.015860505402088165,0.0,0.0,0.3028942875162754,0.03355518355965614,0.007200359832495451
18,0.01722238026559353,0.01722238026559353,0.0,0.0,0.39099816258764164,0.03726804628968239,0.00719926692545414
19,0.01948193833231926,0.01948193833231926,0.0,0.0,0.47299106236488336,0.039920881390571594,0.006972223520278931
20,0.020977851003408432,0.020977851003408432,0.0,0.0,0.5164600202227031,0.04113937169313431,0.0065259081311523914
21,0.020972661674022675,0.020972661674022675,0.0,0.0,0.5175286729709181,0.040856435894966125,0.005915264133363962
22,0.019576679915189743,0.019576679915189743,0.0,0.0,0.4831129779045108,0.039370834827423096,0.0052641318179667
23,0.017456674948334694,0.017456674948334694,0.0,0.0,0.4290281456534719,0.03715667501091957,0.004726035054773092
24,0.015333330258727074,0.015333330258727074,0.0,0.0,0.3713740201636214,0.034654270857572556,0.004411056637763977
25,0.013601039536297321,0.013601039536297321,0.0,0.0,0.32125549617002574,0.03219131752848625,0.004339942708611488
26,0.01233464665710926,0.01233464665710926,0.0,0.0,0.282105222020418,0.029882697388529778,0.0044453260488808155
27,0.011415506713092327,0.011415506713092327,0.0,0.0,0.25211566082781084,0.028138289228081703,0.0046156118623912334
28,0.010713132098317146,0.010713132098317146,0.0,0.0,0.23426738541777128,0.027246426790952682,0.004724747035652399
29,0.010127326473593712,0.010127326473593712,0.0,0.0,0.23478923276377472,0.026635542511940002,0.004672898445278406
30,0.00953360553830862,0.00953360553830862,0.0,0.0,0.25074582285829106,0.025756683200597763,0.004415555391460657
31,0.008805832825601101,0.008805832825601101,0.0,0.0,0.26729958384034175,0.024387933313846588,0.003986867144703865
