epoch,train_loss,train_data_loss,train_phys_loss,phys_data_ratio,grad_norm,val_rel_l2,val_mse
0,1.3738139169290662,0.6050033066421747,0.7688106060959399,1.2707543870510578,2.876274176680214,0.13107626140117645,0.11540102958679199
1,0.16756056481972337,0.09347258904017508,0.07408797589596361,0.7926171368177268,0.7655473162544097,0.09902151674032211,0.04105948284268379
2,0.08761541428975761,0.052148011047393084,0.03546740370802581,0.680129558072548,0.2271928436748542,0.08203618228435516,0.028519678860902786
3,0.07545578782446682,0.04323854553513229,0.032217242347542197,0.7451046733606005,0.11359174111921966,0.07894663512706757,0.025641264393925667
4,0.07187144947238266,0.03920491365715861,0.03266653616447002,0.8332255607073701,0.07890820032045966,0.07664117962121964,0.0238819383084774
5,0.07032016664743423,0.03791564563289285,0.03240452118916437,0.8546477489243273,0.06765909578985868,0.07524607330560684,0.022909965366125107
6,0.06945641222409904,0.03706195601262152,0.03239445650251582,0.8740622457024078,0.062380959483819484,0.07569177448749542,0.02293580211699009
7,0.06888318655546755,0.036886722198687494,0.03199646406574175,0.8674249745855772,0.058184155649737605,0.07393810898065567,0.02182244136929512
8,0.06846991705242544,0.036594289587810636,0.03187562752282247,0.8710546886375429,0.049271487131421765,0.07347982376813889,0.02146250195801258
9,0.06815943506080657,0.0363706611096859,0.03178877418395132,0.8740224459512402,0.04907585190737944,0.07482077926397324,0.022513218224048615
10,0.06794179102871567,0.03621628769906238,0.03172550356248394,0.8760009812741049,0.05065816313672072,0.07420232892036438,0.02215828001499176
11,0.06775863224174827,0.03622739273123443,0.03153123991796747,0.8703701133529809,0.04133218431174752,0.07412286847829819,0.022190915420651436
12,0.06760951317846775,0.03601437481120229,0.031595138541888446,0.8772924341327387,0.04259682950276374,0.07369259744882584,0.0219440795481205
13,0.06746028503403068,0.035973833699245006,0.031486451684031636,0.8752598332240706,0.04321728707499861,0.07232102751731873,0.021097790449857712
14,0.06732662604190409,0.03593799169175327,0.031388634466566145,0.8734109222293835,0.03271346670197212,0.07209082692861557,0.020991817116737366
15,0.06724240840412676,0.035780774254817516,0.03146163484780118,0.8792888220848153,0.035500418805550944,0.07484316825866699,0.022756123915314674
16,0.06719990901183337,0.03569495538249612,0.03150495403679088,0.8826164285455331,0.05857781790074018,0.0725768581032753,0.021596495062112808
17,0.06713072909042239,0.03582823998294771,0.03130248875822872,0.8736820109814772,0.05445915951916396,0.07224394381046295,0.021291131153702736
